id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
601,What is psychology?,Study of mind and behavior,Study of the brain,Study of mental illness,Study of personality,0,Psychology,Foundations
602,Who is considered the father of psychology?,Wilhelm Wundt,Sigmund Freud,William James,Ivan Pavlov,1,Psychology,Foundations
603,What is behaviorism?,Focus on observable behavior,Study of thoughts,Analysis of dreams,Study of consciousness,1,Psychology,Foundations
604,What is cognitive psychology?,Study of mental processes,Study of behavior,Study of emotions,Study of personality,2,Psychology,Foundations
605,Who founded psychoanalysis?,Sigmund Freud,Carl Jung,B.F. Skinner,William James,0,Psychology,Psychoanalysis
606,What is the unconscious mind?,Hidden mental content,Sleeping brain,Conscious thoughts,Daily awareness,1,Psychology,Psychoanalysis
607,What are defense mechanisms?,Psychological protections,Physical responses,Learning strategies,Behavioral patterns,2,Psychology,Psychoanalysis
608,What is transference?,Projecting feelings onto therapist,Memory transfer,Skill learning,Behavior change,3,Psychology,Psychoanalysis
609,What is classical conditioning?,Learning through association,Direct learning,Complex thinking,Problem solving,0,Psychology,Learning
610,What is operant conditioning?,Behavior consequences,Classical conditioning,Social learning,Cognitive learning,1,Psychology,Learning
611,What is latent learning?,Learning without reward,Immediate learning,Forced learning,Rapid learning,2,Psychology,Learning
612,What is learned helplessness?,Giving up from past failure,Active learning,Skill mastery,Knowledge acquisition,3,Psychology,Learning
613,What is short-term memory?,Temporary storage,Long-term storage,Sensory memory,Working memory,0,Psychology,Memory
614,What is encoding?,Converting information,Storing memory,Retrieving memory,Forgetting memory,1,Psychology,Memory
615,What is retrograde amnesia?,Loss of past memories,Future memory loss,False memories,Memory creation,2,Psychology,Memory
616,What is state-dependent memory?,Recall in same state,General recall,Perfect memory,Continuous recall,3,Psychology,Memory
617,What is perception?,Interpreting sensory input,Seeing objects,Hearing sounds,Feeling textures,0,Psychology,Cognition
618,What is attention?,Focused awareness,General awareness,Memory process,Learning style,1,Psychology,Cognition
619,What is metacognition?,Thinking about thinking,Basic thought,Memory recall,Problem solving,2,Psychology,Cognition
620,What is cognitive dissonance?,Conflicting beliefs,Clear thinking,Memory error,Learning difficulty,3,Psychology,Cognition
621,What is emotion?,Feeling state,Thought process,Behavior pattern,Memory type,0,Psychology,Emotion
622,What is empathy?,Understanding others' feelings,Self-awareness,Emotional control,Mood regulation,1,Psychology,Emotion
